room_id,room_number,department_id,room_type
1,CAR-1,1,Consultation
2,CAR-2,1,Procedure
3,CAR-3,1,Procedure
4,CAR-4,1,Procedure
5,DER-1,2,Procedure
6,DER-2,2,Procedure
7,DER-3,2,Lab
8,DER-4,2,Lab
9,ORT-1,3,Lab
10,ORT-2,3,Lab
11,ORT-3,3,Lab
12,ORT-4,3,Procedure
13,PED-1,4,Consultation
14,PED-2,4,Consultation
15,PED-3,4,Procedure
16,PED-4,4,Consultation
17,GEN-1,5,Consultation
18,GEN-2,5,Lab
19,GEN-3,5,Lab
20,GEN-4,5,Lab
21,PHY-1,6,Consultation
22,PHY-2,6,Lab
23,PHY-3,6,Procedure
24,PHY-4,6,Consultation
25,ENT-1,7,Consultation
26,ENT-2,7,Lab
27,ENT-3,7,Procedure
28,ENT-4,7,Lab
29,DEN-1,8,Lab
30,DEN-2,8,Consultation
31,DEN-3,8,Consultation
32,DEN-4,8,Lab
